"ID","Trigger/Event","Phase","GameplayContext","ViewerPersonality","ViewershipEffect","Line","Type","Status","Source"
"B016","flashlight_on","POC (unlabeled)","Player spams flashlight (Spam Counter threshold 3)","React intent (fearful+humor weighted)","(none; counter branch)","stop spamming bro","line","wired-in-graph","ChatGraph.asset: Spam Messages"
"B017","flashlight_on","POC (unlabeled)","Player spams flashlight (Spam Counter threshold 3)","React intent (fearful+humor weighted)","(none; counter branch)","my eyes {emoji:angry}","template","wired-in-graph","ChatGraph.asset: Spam Messages"
"B018","idle_timeout","POC (unlabeled)","Player idle; chat gets bored","React intent (fearful+humor weighted)","-10 (Idle Penalty)","boring {emoji:negative}","template","wired-in-graph","ChatGraph.asset: Idle Messages"
"B019","idle_timeout","POC (unlabeled)","Player idle; chat gets bored","React intent (fearful+humor weighted)","-10 (Idle Penalty)","do something","line","wired-in-graph","ChatGraph.asset: Idle Messages"
"B020","idle_timeout","POC (unlabeled)","Player idle; chat gets bored","React intent (fearful+humor weighted)","-10 (Idle Penalty)","ResidentSleeper","line","wired-in-graph","ChatGraph.asset: Idle Messages"
"B021","idle_timeout","POC (unlabeled)","Player idle; chat gets bored","React intent (fearful+humor weighted)","-10 (Idle Penalty)","hello??? anyone there???","line","wired-in-graph","ChatGraph.asset: Idle Messages"
"B022","idle_timeout","POC (unlabeled)","Player idle; chat gets bored","React intent (fearful+humor weighted)","-10 (Idle Penalty)","is he afk?","line","wired-in-graph","ChatGraph.asset: Idle Messages"
"B023","idle_timeout","POC (unlabeled)","Player idle; chat gets bored","React intent (fearful+humor weighted)","-10 (Idle Penalty)","L stream {emoji:negative}[1-2]","template","wired-in-graph","ChatGraph.asset: Idle Messages"
"B024","idle_timeout","POC (unlabeled)","Idle showcase; setup lines before a bicker","React intent (fearful+humor weighted)","(none)","urbex is too dangerous {emoji:negative}","template","wired-in-graph","ChatGraph.asset: Bicker Setup Messages"
"B025","idle_timeout","POC (unlabeled)","Idle showcase; setup lines before a bicker","React intent (fearful+humor weighted)","(none)","this is illegal right?","line","wired-in-graph","ChatGraph.asset: Bicker Setup Messages"
"B026","idle_timeout","POC (unlabeled)","Idle showcase; setup lines before a bicker","React intent (fearful+humor weighted)","(none)","i would not be here if I were you","line","wired-in-graph","ChatGraph.asset: Bicker Setup Messages"
"B027","idle_timeout","POC (unlabeled)","Idle showcase; setup lines before a bicker","React intent (fearful+humor weighted)","(none)","probably AI stream {emoji:angry}","template","wired-in-graph","ChatGraph.asset: Bicker Setup Messages"
"B028","awe_theater","Phase 1 (Zone B)","Player first sees the theater hall (user-authored ahead, Chunk 5 B.1)","React intent (fearful+humor weighted)","+30 (Viewer Count Effect)","omg this is huge {emoji:positive}[3-5]","template","wired-in-graph","ChatGraph.asset: Message Pool (awe_theater)"
"B029","awe_theater","Phase 1 (Zone B)","Player first sees the theater hall (user-authored ahead, Chunk 5 B.1)","React intent (fearful+humor weighted)","+30 (Viewer Count Effect)","wait how is this place here {emoji:positive}[3-5]","template","wired-in-graph","ChatGraph.asset: Message Pool (awe_theater)"
"B030","awe_theater","Phase 1 (Zone B)","Player first sees the theater hall (user-authored ahead, Chunk 5 B.1)","React intent (fearful+humor weighted)","+30 (Viewer Count Effect)","amazinggg {emoji:positive}[3-5]","template","wired-in-graph","ChatGraph.asset: Message Pool (awe_theater)"
"B031","light_bulb_breaks","POC (unlabeled)","A light bulb breaks / area goes dark","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","wtf was that {emoji:fearful}[3]","template","wired-in-graph","ChatGraph.asset: Message Pool (light_bulb_breaks)"
"B032","light_bulb_breaks","POC (unlabeled)","A light bulb breaks / area goes dark","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","it got dark? {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: Message Pool (light_bulb_breaks)"
"B033","enter_bunker","POC / Phase 2","Player enters the bunker (spooky reaction)","React intent (fearful+humor weighted)","+20 (Viewer Count Effect)","Damn, scary","line","wired-in-graph","ChatGraph.asset: Message Pool (enter_bunker)"
"B034","enter_bunker","POC / Phase 2","Player enters the bunker (spooky reaction)","React intent (fearful+humor weighted)","+20 (Viewer Count Effect)","{emoji:fearful}{emoji:weird}","emoji-burst","wired-in-graph","ChatGraph.asset: Message Pool (enter_bunker)"
"B035","enter_bunker","POC / Phase 2","Player enters the bunker (spooky reaction)","React intent (fearful+humor weighted)","+20 (Viewer Count Effect)","spooky","line","wired-in-graph","ChatGraph.asset: Message Pool (enter_bunker)"
"B036","enter_bunker","POC / Phase 2","Bunker signal-loss follow-up pool (after +20 spike, 5s timer)","React intent (fearful+humor weighted)","(after +20)","You're kinda losing signal buddy","line","wired-in-graph","ChatGraph.asset: Message Pool (bunker signal)"
"B037","enter_bunker","POC / Phase 2","Bunker signal-loss follow-up pool (after +20 spike, 5s timer)","React intent (fearful+humor weighted)","(after +20)","Stream is stuck, anyone else?","line","wired-in-graph","ChatGraph.asset: Message Pool (bunker signal)"
"B038","idle_timeout","POC (unlabeled)","Player hiding near generator; panicked hide flood (floodId player_hiding_generator)","React intent (rapid flood)","(flood)","bro wtf was that","line","wired-in-graph","ChatGraph.asset: Start Flood (player_hiding_generator)"
"B039","idle_timeout","POC (unlabeled)","Player hiding near generator; panicked hide flood (floodId player_hiding_generator)","React intent (rapid flood)","(flood)","i would die right there","line","wired-in-graph","ChatGraph.asset: Start Flood (player_hiding_generator)"
"B040","idle_timeout","POC (unlabeled)","Player hiding near generator; panicked hide flood (floodId player_hiding_generator)","React intent (rapid flood)","(flood)","do not leave this spot","line","wired-in-graph","ChatGraph.asset: Start Flood (player_hiding_generator)"
"B041","idle_timeout","POC (unlabeled)","Player hiding near generator; panicked hide flood (floodId player_hiding_generator)","React intent (rapid flood)","(flood)","no fkn way no fkn way{emoji:fearful}[4-6]","template","wired-in-graph","ChatGraph.asset: Start Flood (player_hiding_generator)"
"B042","idle_timeout","POC (unlabeled)","Player hiding near generator; panicked hide flood (floodId player_hiding_generator)","React intent (rapid flood)","(flood)","{emoji:fearful}[4-6]","emoji-burst","wired-in-graph","ChatGraph.asset: Start Flood (player_hiding_generator)"
"B043","idle_timeout","POC (unlabeled)","Player hiding near generator; panicked hide flood (floodId player_hiding_generator)","React intent (rapid flood)","(flood)","what is it doing?{emoji:fearful}[4-6]","template","wired-in-graph","ChatGraph.asset: Start Flood (player_hiding_generator)"
"B044","idle_timeout","POC (unlabeled)","Player hiding near generator; panicked hide flood (floodId player_hiding_generator)","React intent (rapid flood)","(flood)","i hear a crazy loud noise{emoji:fearful}[4-6]","template","wired-in-graph","ChatGraph.asset: Start Flood (player_hiding_generator)"
"B045","idle_timeout","POC (unlabeled)","Player hiding near generator; panicked hide flood (floodId player_hiding_generator)","React intent (rapid flood)","(flood)","nahhh im out","line","wired-in-graph","ChatGraph.asset: Start Flood (player_hiding_generator)"
"B046","idle_timeout","POC (unlabeled)","Intense bickering showcase - mild line (default)","two random viewers (VIP then transient)","(none)","@{prevMessageUser} Noob, that's wrong","template","wired-in-graph","ChatGraph.asset: Intense Bickering Showcase (mildMessages)"
"B047","idle_timeout","POC (unlabeled)","Intense bickering showcase - initial line (default)","two random viewers (VIP then transient)","(none)","@{prevMessageUser} You have no idea what you're talking about","template","wired-in-graph","ChatGraph.asset: Intense Bickering Showcase (intenseInitialMessages)"
"B048","idle_timeout","POC (unlabeled)","Intense bickering showcase - reply line (default)","two random viewers (VIP then transient)","(none)","@{prevMessageUser} stfu {emoji:angry}","template","wired-in-graph","ChatGraph.asset: Intense Bickering Showcase (intenseReplyMessages)"
"B049","proximity_enter_foyer > idle > check_bathroom","Phase 1 (Zone A)","Bathroom dare banner (story challenge, no retry, 60s)","Dare intent (trolling+bravery weighted)","-10 on fail","I bet the bathrooms are really disgusting by now {emoji:disgust}[1-2]","template","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare (dareBannerMessages)"
"B050","proximity_enter_foyer > idle > check_bathroom","Phase 1 (Zone A)","Bathroom dare banner (story challenge, no retry, 60s)","Dare intent (trolling+bravery weighted)","-10 on fail","bathroom check","line","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare (dareBannerMessages)"
"B051","proximity_enter_foyer > idle > check_bathroom","Phase 1 (Zone A)","Bathroom dare banner (story challenge, no retry, 60s)","Dare intent (trolling+bravery weighted)","-10 on fail","1 like = 1 second in the bathroom","line","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare (dareBannerMessages)"
"B052","dare_success_check_bathroom","Phase 1 (Zone A)","Player entered bathroom (dare success)","React intent (fearful+humor weighted)","(none on success pool)","finally {emoji:positive}[1-2]","template","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare Success"
"B053","dare_success_check_bathroom","Phase 1 (Zone A)","Player entered bathroom (dare success)","React intent (fearful+humor weighted)","(none on success pool)","into the bathroom we go","line","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare Success"
"B054","dare_success_check_bathroom","Phase 1 (Zone A)","Player entered bathroom (dare success)","React intent (fearful+humor weighted)","(none on success pool)","hell yeah","line","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare Success"
"B055","check_bathroom timeout","Phase 1 (Zone A)","Player refused / timed out the bathroom dare","React intent (fearful+humor weighted)","-10 (Fail Drop)","nothing happens lmao","line","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare Fail"
"B056","check_bathroom timeout","Phase 1 (Zone A)","Player refused / timed out the bathroom dare","React intent (fearful+humor weighted)","-10 (Fail Drop)","bro actually didn't go {emoji:negative}[1-2]","template","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare Fail"
"B057","check_bathroom timeout","Phase 1 (Zone A)","Player refused / timed out the bathroom dare","React intent (fearful+humor weighted)","-10 (Fail Drop)","unsubscribe?","line","wired-in-graph","ChatGraph.asset: C1A Bathroom Dare Fail"
"B058","event_bathroom_lights_flicker","Phase 1 (Zone A)","Bathroom lights flicker scare reaction","React intent (fearful+humor weighted)","+3 (Flicker Spike)","WHAT WAS THAT {emoji:fearful}[2-4]","template","wired-in-graph","ChatGraph.asset: C1B Flicker Reaction"
"B059","event_bathroom_lights_flicker","Phase 1 (Zone A)","Bathroom lights flicker scare reaction","React intent (fearful+humor weighted)","+3 (Flicker Spike)","did the lights just-?","line","wired-in-graph","ChatGraph.asset: C1B Flicker Reaction"
"B060","event_bathroom_lights_flicker","Phase 1 (Zone A)","Bathroom lights flicker scare reaction","React intent (fearful+humor weighted)","+3 (Flicker Spike)","nah I'm out {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C1B Flicker Reaction"
"B061","event_bathroom_lights_flicker","Phase 1 (Zone A)","Bathroom lights flicker scare reaction","React intent (fearful+humor weighted)","+3 (Flicker Spike)","bro BRO","line","wired-in-graph","ChatGraph.asset: C1B Flicker Reaction"
"B062","event_bathroom_lights_flicker","Phase 1 (Zone A)","Flicker bickering - mild line","two random viewers (VIP then transient)","+3","@{prevMessageUser} that was fake lol","template","wired-in-graph","ChatGraph.asset: C1B Flicker Bickering (mildMessages)"
"B063","event_bathroom_lights_flicker","Phase 1 (Zone A)","Flicker bickering - initial lines","two random viewers (VIP then transient)","+3","@{prevMessageUser} that was fake bro get real","template","wired-in-graph","ChatGraph.asset: C1B Flicker Bickering (intenseInitialMessages)"
"B064","event_bathroom_lights_flicker","Phase 1 (Zone A)","Flicker bickering - initial lines","two random viewers (VIP then transient)","+3","@{prevMessageUser} it's literally just a gas leak chill","template","wired-in-graph","ChatGraph.asset: C1B Flicker Bickering (intenseInitialMessages)"
"B065","event_bathroom_lights_flicker","Phase 1 (Zone A)","Flicker bickering - reply lines","two random viewers (VIP then transient)","+3","@{prevMessageUser} shut UP it's real {emoji:angry}","template","wired-in-graph","ChatGraph.asset: C1B Flicker Bickering (intenseReplyMessages)"
"B066","event_bathroom_lights_flicker","Phase 1 (Zone A)","Flicker bickering - reply lines","two random viewers (VIP then transient)","+3","@{prevMessageUser} open your eyes","template","wired-in-graph","ChatGraph.asset: C1B Flicker Bickering (intenseReplyMessages)"
"B067","event_bathroom_lights_flicker","Phase 1 (Zone A)","Flicker bickering - reply lines","two random viewers (VIP then transient)","+3","@{prevMessageUser} you're the one coping","template","wired-in-graph","ChatGraph.asset: C1B Flicker Bickering (intenseReplyMessages)"
"B068","interact_foyer_lightswitch","Phase 1 (Zone A)","Player flips foyer light switch; main door opens","React intent (fearful+humor weighted)","+10 (Lightswitch Spike)","ooh fancy","line","wired-in-graph","ChatGraph.asset: C1C Lightswitch Reaction"
"B069","interact_foyer_lightswitch","Phase 1 (Zone A)","Player flips foyer light switch; main door opens","React intent (fearful+humor weighted)","+10 (Lightswitch Spike)","let's gooo {emoji:positive}[1-3]","template","wired-in-graph","ChatGraph.asset: C1C Lightswitch Reaction"
"B070","interact_foyer_lightswitch","Phase 1 (Zone A)","Player flips foyer light switch; main door opens","React intent (fearful+humor weighted)","+10 (Lightswitch Spike)","BASED","line","wired-in-graph","ChatGraph.asset: C1C Lightswitch Reaction"
"B071","interact_foyer_lightswitch","Phase 1 (Zone A)","Player flips foyer light switch; main door opens","React intent (fearful+humor weighted)","+10 (Lightswitch Spike)","door open W","line","wired-in-graph","ChatGraph.asset: C1C Lightswitch Reaction"
"B072","pickup_lightbulb","Phase 1 (Zone B)","Player picks up the lightbulb","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","what's that for?","line","wired-in-graph","ChatGraph.asset: C2D Lightbulb Pool"
"B073","pickup_lightbulb","Phase 1 (Zone B)","Player picks up the lightbulb","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","stage light?","line","wired-in-graph","ChatGraph.asset: C2D Lightbulb Pool"
"B074","pickup_lightbulb","Phase 1 (Zone B)","Player picks up the lightbulb","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","put that up in the spotlight {emoji:positive}[1-2]","template","wired-in-graph","ChatGraph.asset: C2D Lightbulb Pool"
"B075","pickup_lightbulb","Phase 1 (Zone B)","Player picks up the lightbulb","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","bulb guy","line","wired-in-graph","ChatGraph.asset: C2D Lightbulb Pool"
"B076","interact_spotlight (bulb true)","Phase 1 (Zone B)","Player installs bulb in spotlight (flag_bulb_picked_up == true)","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","BANGER {emoji:positive}[2-3]","template","wired-in-graph","ChatGraph.asset: C2E Spotlight Success Pool"
"B077","interact_spotlight (bulb true)","Phase 1 (Zone B)","Player installs bulb in spotlight (flag_bulb_picked_up == true)","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","stage is lit","line","wired-in-graph","ChatGraph.asset: C2E Spotlight Success Pool"
"B078","interact_spotlight (bulb true)","Phase 1 (Zone B)","Player installs bulb in spotlight (flag_bulb_picked_up == true)","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","set the stage {emoji:positive}[1-2]","template","wired-in-graph","ChatGraph.asset: C2E Spotlight Success Pool"
"B079","interact_spotlight (bulb true)","Phase 1 (Zone B)","Player installs bulb in spotlight (flag_bulb_picked_up == true)","React intent (fearful+humor weighted)","+10 (Viewer Count Effect)","there we go","line","wired-in-graph","ChatGraph.asset: C2E Spotlight Success Pool"
"B080","interact_spotlight (bulb false)","Phase 1 (Zone B)","Player uses spotlight with no bulb","React intent (fearful+humor weighted)","(none)","needs a bulb first bro","line","wired-in-graph","ChatGraph.asset: C2E Spotlight Fail Pool"
"B081","interact_spotlight (bulb false)","Phase 1 (Zone B)","Player uses spotlight with no bulb","React intent (fearful+humor weighted)","(none)","where's the bulb","line","wired-in-graph","ChatGraph.asset: C2E Spotlight Fail Pool"
"B082","interact_spotlight (bulb false)","Phase 1 (Zone B)","Player uses spotlight with no bulb","React intent (fearful+humor weighted)","(none)","empty socket lmao {emoji:negative}[1-2]","template","wired-in-graph","ChatGraph.asset: C2E Spotlight Fail Pool"
"B083","gaze_stage_ropes > pull_ropes","Phase 1-2 (Zone B)","Pull-ropes dare banner (story challenge, retry until success, 120s)","Dare intent (trolling+bravery weighted)","+15 on first pull","someone should put a show here","line","wired-in-graph","ChatGraph.asset: C2F Pull Ropes Dare (dareBannerMessages)"
"B084","gaze_stage_ropes > pull_ropes","Phase 1-2 (Zone B)","Pull-ropes dare banner (story challenge, retry until success, 120s)","Dare intent (trolling+bravery weighted)","+15 on first pull","curtain up {emoji:positive}[1-2]","template","wired-in-graph","ChatGraph.asset: C2F Pull Ropes Dare (dareBannerMessages)"
"B085","dare_success_pull_ropes","Phase 1-2 (Zone B)","Payoff when a rope is pulled and a backdrop drops","React intent (fearful+humor weighted)","+15 (Ropes Payoff Spike)","OMG {emoji:positive}[3-6]","template","wired-in-graph","ChatGraph.asset: C2F Ropes Payoff Pool"
"B086","dare_success_pull_ropes","Phase 1-2 (Zone B)","Payoff when a rope is pulled and a backdrop drops","React intent (fearful+humor weighted)","+15 (Ropes Payoff Spike)","what just dropped?? {emoji:positive}[2-4]","template","wired-in-graph","ChatGraph.asset: C2F Ropes Payoff Pool"
"B087","dare_success_pull_ropes","Phase 1-2 (Zone B)","Payoff when a rope is pulled and a backdrop drops","React intent (fearful+humor weighted)","+15 (Ropes Payoff Spike)","see that's showmanship","line","wired-in-graph","ChatGraph.asset: C2F Ropes Payoff Pool"
"B088","dare_success_pull_ropes","Phase 1-2 (Zone B)","Payoff when a rope is pulled and a backdrop drops","React intent (fearful+humor weighted)","+15 (Ropes Payoff Spike)","CINEMA {emoji:positive}[2-4]","template","wired-in-graph","ChatGraph.asset: C2F Ropes Payoff Pool"
"B089","pickup_trapdoor_key","Phase 1-2 (Zone B)","Player picks up trapdoor key (also arms mannequins)","React intent (fearful+humor weighted)","+3 (Trapdoor Key Spike)","got it {emoji:positive}[1-2]","template","wired-in-graph","ChatGraph.asset: C2G Trapdoor Key Pool"
"B090","pickup_trapdoor_key","Phase 1-2 (Zone B)","Player picks up trapdoor key (also arms mannequins)","React intent (fearful+humor weighted)","+3 (Trapdoor Key Spike)","trapdoor time","line","wired-in-graph","ChatGraph.asset: C2G Trapdoor Key Pool"
"B091","pickup_trapdoor_key","Phase 1-2 (Zone B)","Player picks up trapdoor key (also arms mannequins)","React intent (fearful+humor weighted)","+3 (Trapdoor Key Spike)","wonder what's down there","line","wired-in-graph","ChatGraph.asset: C2G Trapdoor Key Pool"
"B092","pickup_trapdoor_key","Phase 1-2 (Zone B)","Player picks up trapdoor key (also arms mannequins)","React intent (fearful+humor weighted)","+3 (Trapdoor Key Spike)","finally a key","line","wired-in-graph","ChatGraph.asset: C2G Trapdoor Key Pool"
"B093","interact_bunker_door (key true)","Phase 2 (Zone B->C)","Player opens bunker door with key","React intent (fearful+humor weighted)","+5 (Bunker Open Spike)","down we go {emoji:positive}[1-3]","template","wired-in-graph","ChatGraph.asset: C2H Bunker Open Pool"
"B094","interact_bunker_door (key true)","Phase 2 (Zone B->C)","Player opens bunker door with key","React intent (fearful+humor weighted)","+5 (Bunker Open Spike)","bunker time {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C2H Bunker Open Pool"
"B095","interact_bunker_door (key true)","Phase 2 (Zone B->C)","Player opens bunker door with key","React intent (fearful+humor weighted)","+5 (Bunker Open Spike)","what's down there","line","wired-in-graph","ChatGraph.asset: C2H Bunker Open Pool"
"B096","interact_bunker_door (key true)","Phase 2 (Zone B->C)","Player opens bunker door with key","React intent (fearful+humor weighted)","+5 (Bunker Open Spike)","no going back {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C2H Bunker Open Pool"
"B097","interact_bunker_door (key false)","Phase 2 (Zone B->C)","Player tries bunker door with no key","React intent (fearful+humor weighted)","(none)","locked","line","wired-in-graph","ChatGraph.asset: C2H Bunker Locked Pool"
"B098","interact_bunker_door (key false)","Phase 2 (Zone B->C)","Player tries bunker door with no key","React intent (fearful+humor weighted)","(none)","find a key bro","line","wired-in-graph","ChatGraph.asset: C2H Bunker Locked Pool"
"B099","interact_bunker_door (key false)","Phase 2 (Zone B->C)","Player tries bunker door with no key","React intent (fearful+humor weighted)","(none)","no key no entry {emoji:negative}[1-2]","template","wired-in-graph","ChatGraph.asset: C2H Bunker Locked Pool"
"B100","proximity_scene_committee","Phase 1-2 (Zone B)","Rope pull 1 backdrop: 3 chairs / tribunal","React intent (fearful+humor weighted)","(none)","three chairs. not a good sign","line","wired-in-graph","ChatGraph.asset: C2I Scene Committee Pool"
"B101","proximity_scene_committee","Phase 1-2 (Zone B)","Rope pull 1 backdrop: 3 chairs / tribunal","React intent (fearful+humor weighted)","(none)","reminds me of when HR called me in {emoji:sad}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Committee Pool"
"B102","proximity_scene_committee","Phase 1-2 (Zone B)","Rope pull 1 backdrop: 3 chairs / tribunal","React intent (fearful+humor weighted)","(none)","performance review core","line","wired-in-graph","ChatGraph.asset: C2I Scene Committee Pool"
"B103","proximity_scene_committee","Phase 1-2 (Zone B)","Rope pull 1 backdrop: 3 chairs / tribunal","React intent (fearful+humor weighted)","(none)","who's being judged","line","wired-in-graph","ChatGraph.asset: C2I Scene Committee Pool"
"B104","proximity_scene_committee","Phase 1-2 (Zone B)","Rope pull 1 backdrop: 3 chairs / tribunal","React intent (fearful+humor weighted)","(none)","unpaid board meeting lmao","line","wired-in-graph","ChatGraph.asset: C2I Scene Committee Pool"
"B105","proximity_scene_committee","Phase 1-2 (Zone B)","Rope pull 1 backdrop: 3 chairs / tribunal","React intent (fearful+humor weighted)","(none)","silence says everything {emoji:sad}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Committee Pool"
"B106","proximity_scene_interrogation","Phase 1-2 (Zone B)","Rope pull 2 backdrop: table + floating camera & mic","React intent (fearful+humor weighted)","(none)","the mic is just floating wtf","line","wired-in-graph","ChatGraph.asset: C2I Scene Interrogation Pool"
"B107","proximity_scene_interrogation","Phase 1-2 (Zone B)","Rope pull 2 backdrop: table + floating camera & mic","React intent (fearful+humor weighted)","(none)","POV you're the journalist","line","wired-in-graph","ChatGraph.asset: C2I Scene Interrogation Pool"
"B108","proximity_scene_interrogation","Phase 1-2 (Zone B)","Rope pull 2 backdrop: table + floating camera & mic","React intent (fearful+humor weighted)","(none)","recording a confession rn {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Interrogation Pool"
"B109","proximity_scene_interrogation","Phase 1-2 (Zone B)","Rope pull 2 backdrop: table + floating camera & mic","React intent (fearful+humor weighted)","(none)","one man podcast setup","line","wired-in-graph","ChatGraph.asset: C2I Scene Interrogation Pool"
"B110","proximity_scene_interrogation","Phase 1-2 (Zone B)","Rope pull 2 backdrop: table + floating camera & mic","React intent (fearful+humor weighted)","(none)","reminds me of calling my ex back {emoji:sad}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Interrogation Pool"
"B111","proximity_scene_interrogation","Phase 1-2 (Zone B)","Rope pull 2 backdrop: table + floating camera & mic","React intent (fearful+humor weighted)","(none)","so who's spilling","line","wired-in-graph","ChatGraph.asset: C2I Scene Interrogation Pool"
"B112","proximity_scene_podium","Phase 1-2 (Zone B)","Rope pull 3 backdrop: podium + award + mic","React intent (fearful+humor weighted)","(none)","make a speech king {emoji:positive}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Podium Pool"
"B113","proximity_scene_podium","Phase 1-2 (Zone B)","Rope pull 3 backdrop: podium + award + mic","React intent (fearful+humor weighted)","(none)","finally some recognition","line","wired-in-graph","ChatGraph.asset: C2I Scene Podium Pool"
"B114","proximity_scene_podium","Phase 1-2 (Zone B)","MALFORMED in .asset (apostrophe mis-serialized): two list items are the split halves of one intended line","React intent (fearful+humor weighted)","(none)","i","line","wired-in-graph (malformed source; human check)","ChatGraph.asset: C2I Scene Podium Pool"
"B115","proximity_scene_podium","Phase 1-2 (Zone B)","MALFORMED continuation of previous","React intent (fearful+humor weighted)","(none)","d cry ngl {emoji:sad}[1-2]'","template","wired-in-graph (malformed source; human check)","ChatGraph.asset: C2I Scene Podium Pool"
"B116","proximity_scene_podium","Phase 1-2 (Zone B)","Rope pull 3 backdrop: podium + award + mic","React intent (fearful+humor weighted)","(none)","what's the award even for","line","wired-in-graph","ChatGraph.asset: C2I Scene Podium Pool"
